"Country","Status","Life.expectancy","Infant.deaths","Alcohol","Percentage.expenditure","Hepatitis.B","BMI","Polio","Diphteria","HIV.AIDS","GDP","Thinness.10.19.years","HDI","Schooling","Homicides","Fertility","Unemployment.rate..women"
"Kyrgyz Republic","Developing",70.9512195121951,2.11,4.57,6.41248226,96,26.7857485194273,97,96,0.003454231,1120.6665,3.3,0.669,10.9,4.44,3.01,9.202
"Cambodia","Developing",68.977,3.06,3.5,6.11648464,93,22.2708364704812,91,93,0.008245439,1269.5913,10.9,0.576,4.7,2.44,2.56,0.158
"Kuwait","Developing",75.224,0.84,0.008,4.03104591,99,29.9272632925227,99,99,0.000252725,27653.0668,3.5,0.804,7.2,1.83,1.97,2.264
"Lao PDR","Developing",66.924,6.56,7.11,2.36087489,66,23.0019725269659,66,66,0.010663401,2308.8005,8.8,0.598,5.2,6.94,2.7,1.206
"Lebanon","Developing",78.8,0.81,1.27,7.98103571,80,27.886000956946,81,83,0.00372516,7629.8911,4.9,0.753,8.6,4.11,1.72,10.939
"Liberia","Developing",62.802,7.74,3.53,9.79585648,84,24.1859124083968,84,84,0.019403556,714.6234,6.5,0.432,4.5,10.22,4.58,3.838
"Sri Lanka","Developing",76.482,0.91,2.65,3.86424923,99,23.2373673913594,99,99,0.000471631,3886.2915,15.1,0.768,10.9,2.93,2.05,7.499
"Lesotho","Developing",52.059,8.89,2.89,8.01058197,87,24.9740935048767,87,87,0.183614369,1043.5698,5.5,0.516,6.3,45.38,3.09,32.624
"Lithuania","Developed",74.6707317073171,0.47,13.39,6.63686323,95,26.6387652995922,94,94,0,14998.1251,2.6,0.855,13,5.42,1.65,6.62
"Luxembourg","Developed",82.6853658536585,0.26,11.24,5.19496346,94,26.4998838287464,99,99,0,104278.391,1,0.904,12.1,0.69,1.57,6.528
"Latvia","Developed",74.580487804878,0.46,11.3,6.20632744,98,26.8229033206735,98,91,0.000510325,14315.7929,2.2,0.844,12.8,5.97,1.54,8.377
